gene,gene_effect,z_score,mean,stddev
STAG3,-0.485158508293,-3.3620083811341455,0.08998920214825588,0.17107265813752512
POLE3,-0.639656308735,-3.350295422076198,-0.06857337636132285,0.17045748521477358
RRAGA,-0.37486924439400005,-3.340874298348133,0.029368003791254708,0.12099744320973896
COPS2,-2.03182394422,-3.331557869983312,-0.9917538365815453,0.3121873154326041
TEX14,-0.355888999211,-3.3139057654029163,0.04245239717357559,0.12020299446750979
ASL,-0.6188140873669999,-3.2974909861312685,-0.10800754270988651,0.15490763941599411
WDR7,-1.0284762289,-3.288331017442712,-0.2647865990598326,0.23224232164865138
ACSL4,-0.768140348259,-3.2785929207620264,-0.10665098924182968,0.20176013765790227
ATP6V1B2,-1.7647383013999998,-3.2772991122756308,-0.5326543196115323,0.3759449289121967
PMS2P3,-0.363371022808,-3.274497827152001,0.033974736687837806,0.12134555601199766
UBE2S,-0.8780330548530001,-3.2737514461835526,-0.1644082576425477,0.21798380510602786
FBXO22,-0.567219780733,-3.2589074630322723,-0.01833756460011435,0.16842522298015006
SNRNP200,-2.2832148564700003,-3.2530027247196824,-1.2899477248801503,0.30533854891727513
MIOS,-0.5120812847890001,-3.252955026937668,-0.011769321180581403,0.15380229959078542
TBC1D9,-0.42392262876500003,-3.240560376737693,-0.00486962187378267,0.12931498203192948
RTF1,-2.0537139078099997,-3.2399814311340367,-1.1431369266849143,0.2810438888245021
EPHA8,-0.760357906546,-3.211003809317569,-0.14136210226560306,0.19277330113537033
PLK1,-2.15632493198,-3.1958691066605227,-0.9180545373558694,0.38745967162530115
CNOT6,-0.563823635623,-3.1924064287297895,-0.07185038946776036,0.15410733474527816
EML2,-0.577997735745,-3.181981967469716,-0.08799886954672966,0.15399171686315782
NUTF2,-2.49699654586,-3.1517431644032112,-1.2674327796045748,0.3901218158073631
PRR5-ARHGAP8,-0.673875086126,-3.150540383050858,0.0029111409268519415,0.21481591878453532
EWSR1,-1.03609483519,-3.1215663423511844,-0.39957337051581443,0.20391091998857
PDE5A,-0.512908466883,-3.095594245161412,-0.04256179240648314,0.15194067349482096
CFLAR,-0.966071669577,-3.086690994445742,-0.21832666653251187,0.24224809169106867
HSPA14,-0.611973997541,-3.0835459462286927,-0.09104717966066307,0.1689375890498575
PSG1,-0.399876280851,-3.0600144846332618,0.10448716543043614,0.16482387544707436
FOXA3,-1.12467996333,-3.045855190089982,-0.3810588761556089,0.2441419702400306
LRRD1,-0.382520814976,-3.024107177383604,0.03442444191278593,0.13787383595627667
MAP2K4P1,-0.44077458243600004,-3.0228695004167494,0.13373556492894081,0.19005456480530694
KLF12,-0.699226083884,-3.011178947313778,-0.21772346376827525,0.15990501678595526
UBTF,-0.7905830371610001,-3.0107627816714824,-0.1825524458713741,0.201952340779258
SLC25A23,-0.49391524814599996,-3.008735858714746,0.06277937575179655,0.18502608737996762
TRA2B,-1.16903830192,-3.008400632888019,-0.3110358638836393,0.28520218638987965
COPS6,-1.88533644385,-3.0080808648119817,-0.9674043869328538,0.30515537918377106
SDHAP4,-0.339798621785,-3.006924524562193,0.10449883113934663,0.14775809944515855
ABCG1,-0.41809941198,-3.002243014321267,-0.006452175084382942,0.137113229985708
TNIP1,-0.563253821739,-2.9935931580082924,-0.08927655779528756,0.1583305542624438
TFG,-0.614314176716,-2.9900314183197394,-0.09389380586055789,0.17405180683616178
COPS8,-1.73332788623,-2.987214977092037,-0.7889327780690433,0.3161456793043722
NCOA5,-0.546900172323,-2.984377413678034,-0.04970588708366344,0.16659899748623946
MAGEA12,-0.526484195454,-2.955897224578942,-0.05782983691434444,0.15854893554575936
MASP1,-1.28313709846,-2.949358559467907,-0.5225554088393172,0.2578803744221249
HBA2,-0.40104252753799996,-2.9400049010609894,0.007845186136736963,0.13907722178530296
PNN,-1.6404191805200001,-2.9376405782731165,-0.8067338038132245,0.2837942064365325
