gene,gene_effect,z_score,mean,stddev
RNMT,-0.441376259539,-2.429606088129693,-0.05176666395330395,0.16035916171317177
SLC43A3,-0.281994675846,-2.4257643106075917,0.09959266096823143,0.15730602315550335
FBXO8,-0.310703235497,-2.4039749188884767,0.09399925498541248,0.1683472183102203
C3orf33,-0.210631038918,-2.3984066460411455,0.10454750153212355,0.13141163570838293
MTUS1,-0.506793769513,-2.3915086375421897,-0.1407277615840132,0.15306907204199
ZNF749,-0.26420614147300003,-2.3881261272446905,0.062388526728257294,0.13675771328630248
VSTM2L,-0.342271789608,-2.383710966927946,0.006382920098242762,0.14626551395850576
N6AMT1,-0.40971485015000003,-2.383601221782027,0.005940814240533076,0.17438137746874485
HPS4,-0.328425389671,-2.3788162322467246,0.11056567341451101,0.18454181417405932
CPSF2,-0.792062929112,-2.3746604568057332,-0.37493051485754003,0.1756598140416101
SAPCD2,-0.382839090286,-2.371672530161945,-0.017399088302055814,0.15408535425377248
PADI3,-0.304918521801,-2.362765481556056,0.16184830203307035,0.19755105933182576
GTPBP3,-0.455398691064,-2.3615152455385515,0.02435019604091366,0.20315299171210952
PIGO,-0.27669928148899997,-2.3563903922078127,0.09250660734944274,0.15668281879748985
FBN1,-0.397351704745,-2.3462929715709273,0.1356699402415153,0.22717608220495933
TSHZ1,-0.296970035394,-2.338105973343026,0.05423088684324746,0.15020744407709635
LAYN,-0.40380256139,-2.3290227044422047,0.05473710386331477,0.19688071927282214
SERPINA3,-0.507602576986,-2.320981692233207,-0.14153209835701497,0.157722260306482
TLX3,-0.42733006844099997,-2.3150364766235576,-0.10288842144318364,0.14014537147639639
HYLS1,-0.44822092039300004,-2.303826279471666,-0.08351793866541429,0.15830316069283779
ZBTB44,-0.446049410158,-2.30278439914345,-0.12911425998262807,0.13763127381497806
MXD1,-0.417852242742,-2.2966031434049934,-0.07367535254312517,0.14986345864204936
BCKDK,-0.49569936422300004,-2.291398020298996,-0.1083014381621177,0.1690661869430839
SCAND2P,-0.333859577202,-2.283791814961474,0.03919893671211822,0.16335049082414346
ANAPC1P2,-0.328321113515,-2.27418483335408,0.11681915384299213,0.19573618679950358
ADAM18,-0.320494314958,-2.2724505513061914,0.025894228179417205,0.15242951840616076
SLC7A3,-0.33621885581200006,-2.2611550955538604,0.0046252317674467065,0.15073892465388733
PCDHGA11,-0.274600893296,-2.252577662753362,0.05564432167444808,0.14660769323566145
S100A1,-0.8102257554600001,-2.2476833998903314,-0.21729887964484437,0.26379465891152004
ADAM29,-0.31048095432399997,-2.246208996436804,0.044894812005262213,0.1582113538379555
CRY2,-0.38481156426799995,-2.2461151754104294,-0.005643911286563378,0.16881042305061308
PUDP,-0.377138206272,-2.236889933772539,-0.011063605702724015,0.1636533809921918
PCDHB2,-0.398138226328,-2.2327266811913313,0.025647567010920587,0.18980639095189128
DENND5B,-0.625695140328,-2.231679947649675,-0.1905461897717631,0.19498716696115864
CIB4,-0.24686546435400003,-2.228822695720464,0.09870308233454342,0.15504532834848886
STX17,-0.23189308305599998,-2.226446382798343,0.0646990457918753,0.13321323663545806
ASAH2,-0.288988065345,-2.222598355722257,0.07708092326869216,0.1647031672057249
SCN5A,-0.385289931523,-2.2218756365253687,-0.04127036882505552,0.15483295151295323
NRXN2,-0.449033276854,-2.2205322279323907,-0.04770220571390549,0.18073643160486208
SLC39A5,-0.359038050284,-2.219310931776086,-0.010465135544429505,0.1570635775946059
SLC6A5,-0.266107005219,-2.219029762173792,0.052034515764126654,0.14336965028872387
PNKD,-0.22736498128199997,-2.2184523839159374,0.10813903613181088,0.15123336423457082
PMS2P3,-0.234936941931,-2.216081803541697,0.033974736687837806,0.12134555601199766
TUBB2A,-0.447505116474,-2.207469387140317,-0.0590422097228716,0.17597657707696035
SORD,-0.378909980608,-2.202653461990391,0.004081664881604428,0.17387739474166783
CLXN,-0.321733647297,-2.196518433558039,0.05505579632165712,0.17153939519110398
KRT8,-0.23560206675200002,-2.1958289757765566,0.05743887127402614,0.13345344344151028
PHF6,-0.455071530048,-2.191572634246655,-0.10056085458329643,0.16176086063721326
CBR1,-0.403296691412,-2.1867432739600243,-0.03413127699583085,0.16881973243600693
MPZL2,-0.34546297800399994,-2.18566575420064,-0.029527545994288383,0.14454883204465915
CNR2,-0.40792942101499996,-2.1850793205954844,-0.04971095962321237,0.16393842457589358
LRRN4CL,-0.43709424214500003,-2.1834400001945466,-0.04925266887499823,0.17762868374466198
LIN54,-0.352683868971,-2.1826658625481774,0.0032851517375327845,0.1630891043913395
AQP3,-0.323204297113,-2.180159593772521,0.012194310703371378,0.15384130995474596
DNAJB6,-0.488942253499,-2.179644179745713,-0.06367600508398419,0.19510810634450862
FOXRED2,-0.17542134916700003,-2.178854843406992,0.11732539840819085,0.1343580773455445
WDCP,-0.466892615926,-2.1715291484023163,-0.12080782319420182,0.1593737726184459
NRN1,-0.29067330348000003,-2.1708165849148098,-0.010637865508526903,0.1290000453826746
GFRA3,-0.30059755376200004,-2.166043907200222,0.019681811909074438,0.14786374579315897
CD99,-0.351033109456,-2.157668030880518,-0.047679505918860596,0.1405932697688182
HBD,-0.292359676002,-2.1574774483600385,0.0018781062602073767,0.13638046714502908
C4B,-0.446215403354,-2.150529595647335,-0.15592400054897013,0.13498600688527082
SCNN1D,-0.34013205403999996,-2.149136872748793,-0.021437346621287774,0.14828962801754672
SLC15A2,-0.20867777742600002,-2.1480330686481053,0.08604915880267534,0.1372078207409376
HPR,-0.19741686840300002,-2.140378755239636,0.13812359768612076,0.15676686440085408
KRT18P55,-0.147785136814,-2.1336339835553817,0.15595247774460472,0.1423569444898283
SYT14,-0.48283229012199996,-2.1326535750931477,-0.12908606496889563,0.16587139575055165
KBTBD13,-0.415816609666,-2.1296341363469646,-0.10130529236574773,0.14768326255313716
TMC3,-0.18141105740400001,-2.127529984886884,0.1152583646565056,0.13944312144502108
KLRG1,-0.262226809572,-2.123760835485358,0.004288310021364944,0.12549205877622108
RLN3,-0.5817847468940001,-2.1222724787058316,-0.15076349260790994,0.20309421085690574
SEC22C,-0.47345821200099997,-2.1186350945581913,-0.027786441559587257,0.2103579665918593
CPA2,-0.195923060581,-2.1167615046844666,0.07935634130208001,0.13004743390971404
CELSR3,-0.47283538697099997,-2.1163136060655243,-0.10710781418687894,0.17281350539727028
HTRA1,-0.27628668589899996,-2.114566513042896,0.09408459755465946,0.1751523450168938
TAPT1,-0.34559929584700005,-2.113108298676473,-0.01666987252462495,0.15566141287145444
EDA,-0.428873239638,-2.11077538585446,-0.03930601706128528,0.1845611926249626
OR56A1,-0.244762083743,-2.1102914203164294,0.08875146914278616,0.15804146748403933
KCNA2,-0.391343633049,-2.108058148780674,-0.046952557201241765,0.1633688691400463
SLC46A1,-0.342991746336,-2.102182203925996,0.006925829705666771,0.1664544469019704
RNF14,-0.381886115727,-2.099107929634998,-0.026195420183048122,0.16944850263406938
ZNF48,-0.47507107622100003,-2.09600087723854,0.018490278265375533,0.23547764690663567
ALKBH5,-0.34676485872199997,-2.093142034010664,-0.023830307020099098,0.15428219702947096
UQCRB,-0.671636932995,-2.091256643256636,-0.27753834339755895,0.18845060976529693
PASK,-0.44087430510700004,-2.0890674627912804,-0.08636635654269952,0.16969674502068463
ENPEP,-0.492500547422,-2.086631301852695,-0.006743236757722621,0.23279498885738908
CD2AP,-0.415239049238,-2.0865129331680374,-0.058365158361119024,0.17103842741824024
NUTM2F,-0.326372760577,-2.083695387884121,0.09782542672780814,0.20357975055824173
SLITRK4,-0.37591253526,-2.081877634378481,-0.047443305123611904,0.15777547378976892
HMGN2P46,-0.377100333656,-2.078065866954101,-0.08906008298377228,0.13860977905114197
QTRT2,-0.38832496350400003,-2.0732905682791936,-0.02672232221312128,0.17441001605047798
UGT2A2,-0.215163948493,-2.0709987796669966,0.13226764167908747,0.16776040313647708
OR12D2,-0.40290589935500004,-2.0685761845714152,-0.13082886556532014,0.131528650391985
KCNJ3,-0.38985518977300004,-2.0665622780127277,-0.04206457754192219,0.16829428076347375
B4GALNT1,-0.34995415348000003,-2.066151429553823,0.01193628667475818,0.1751519443242875
CCL14,-0.322150080455,-2.0648432082507604,0.019393435611971925,0.1654089350233579
LLGL1,-0.45840523070100003,-2.0614265107473604,-0.06727287472762994,0.18973868529107396
NDUFA13,-0.255975457396,-2.060178532765581,0.09210132147556667,0.16895466744054885
SCX,-0.36365719748400005,-2.058656002115179,-0.023946515778204638,0.1650157585127178
ANOS1,-0.252369235179,-2.057889633948362,0.036292643235138006,0.14027082582669803
NXF5,-0.37314474145000004,-2.0577663010406932,-0.009805525753886027,0.17656971810275982
ITIH3,-0.342654378499,-2.0544382158784407,-0.054339679477245224,0.14033748826974415
ZBTB18,-0.244059992122,-2.052559665604395,0.03295559215610289,0.13496103860958075
S100A13,-0.264088732392,-2.0505819849282925,0.06509256339442585,0.1605306679790894
CSN2,-0.19413048247200002,-2.050045897987774,0.048590863984788416,0.11839800596417475
MTTP,-0.265691391373,-2.0484072679812235,0.06488291179755429,0.1613811415033431
PIAS2,-0.31655461380800004,-2.044666873151169,0.04958945216405111,0.17907272366953486
SLC46A2,-0.23733644777600002,-2.0442007941469877,0.03316399330119962,0.1323257685114417
SC5D,-0.29179922725,-2.0426620541795435,0.021421104309987483,0.15333928141422087
CPE,-0.443102392434,-2.0425566970763738,-0.09719457786390083,0.169350410231068
RPEL1,-0.19838833264199998,-2.038734175109452,0.10485980237804393,0.14874334217886137
CTTNBP2,-0.37421263806599997,-2.0373133679544826,-0.09388135664423491,0.1375985088161598
ACKR4,-0.389806231009,-2.0365322529650163,-0.09689532529529171,0.14382826753038414
PPM1N,-0.31006658660799996,-2.0348909359160317,0.014962712109090736,0.1597281176009439
POLR2D,-1.72138293242,-2.03196183651231,-1.0342250115404112,0.33817461948942756
FBXO9,-0.29360009931200004,-2.030462226505501,0.065486228868327,0.17684954858693805
GTF2H2B,-0.322868865887,-2.0294424773535304,0.015008480640345124,0.16648776710732394
STEAP3,-0.238412546448,-2.0254086239338913,0.06974958707435476,0.1521481294593387
ZNF549,-0.20457392784000003,-2.0235219221711,0.08260871202994818,0.14192217871394294
DGUOK,-0.526138629369,-2.0228272900452153,-0.11670185166946254,0.20240817380429224
COPS7B,-0.531620766721,-2.015265285796665,-0.16417619204989548,0.18233062280227197
PEX6,-0.432536357759,-2.0139942015190884,-0.10430018805005409,0.16297771337244585
HMX3,-0.686065548947,-2.0131439093138948,-0.23079596035790986,0.22614855623721997
LMNA,-0.632071794389,-2.0085099990706796,-0.16922340249961185,0.2304436582857661
CP,-0.32960232751999996,-2.0077879965498573,0.08685525434765476,0.2074210935533468
SH3BP5L,-0.521351270037,-2.0029103224128653,-0.16967394743509526,0.17558315949874695
LYPLAL1,-0.253093197191,-2.001930170118387,0.08803239641670628,0.17039834790417954
TBX10,-0.250236389605,-1.998364262312858,0.028815247578715765,0.13964002581829013
